HardwareUID,HardwareVendorUID,HardwareVendorID,HardwareTypeDescription,HardwareCPUDescription,HardwareCPUCount,HardwareCPUCoreCount,HardwareCPUHT,HardwareCPUPerformance,HardwareRAMSize,HardwareHDDSize,HardwareHDDDescription,HardwareWeight,HardwareHeight,HardwareWidth,HardwarePower,HardwareNote,HardwareImageName
N'00000000-0000-0000-0000-000000000001',N'00000000-0000-0000-0000-000000000001',NULL,N'UNKNOWN',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
N'05f8eddc-f4c1-48da-9565-9e8420928c98',N'4cc95d09-4748-459f-a7cc-2d247e8c7b96',NULL,N'Catalyst 3750',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,2,NULL,500,NULL,NULL
N'0638d1fc-9a34-4ff3-9dc1-c2911e120e0a',N'7f8e2b6b-d5c7-44f5-a842-0b6eef54148c',NULL,N'Altix XE250',N'xeon',NULL,4,NULL,NULL,NULL,NULL,N'SATA',NULL,2,100,NULL,N'SATA',NULL
N'082bcf5d-d9dc-4acc-9c74-ab01f3587d84',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'V20z',N'AMD Opteron 252 2.7GHz',2,2,NULL,NULL,4,73,N'SCSI',16,1,100,460,N'SCSI',NULL
N'08A44000-D55C-4be3-B38F-D8EF9D4D9691',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'P7674-60200',N'Server LP1000r',N'PIII 1,13 GHz',2,1,NULL,5,1,18,N'SCSI',11,1,100,204,N'SCSI',N'LP1000r'
N'0955b8af-db13-43d5-a385-5136f966d79c',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL145 G2',N'AMD Opteron
N'0ecfce19-ddea-4f5c-91b3-11cceb91f43d',N'46d2975a-d971-40f4-b7fc-f0b6b3e08ec6',NULL,N'unknown 1U',N'Intel 2.40GHz',1,4,NULL,NULL,4,200,N'SATA',NULL,1,100,201,N'SATA',NULL
N'18ba1a71-40e3-48cf-8fb2-069b8186155d',N'd90a75a3-ba41-4ad6-a4d7-3de6a8d7f388',NULL,N'PE1650',N'Pentium III',1,1,NULL,NULL,NULL,100,N'SCSI',17,1,NULL,500,N'SCSI',NULL
N'1e567354-4880-4027-8db6-6d31c8434dd5',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'505768-B21 ',N'DL320G6',N'Intel Xeon E5504',1,4,NULL,NULL,8,4000,N'SATA',NULL,1,100,400,N'SATA',NULL
N'2166a9b7-66b8-4b41-b8a7-c1c903468566',N'e855fc5d-37d5-401d-81a0-97cbb1a5c60c',NULL,N'SATABeast ',NULL,NULL,NULL,NULL,NULL,NULL,84,N'SATA',49,4,100,686,N'SATA',NULL
N'23400aff-b7fc-4cb1-ba5c-b944aa66ccba',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'Fire X4600',N'AMD Opteron 8356',8,4,NULL,NULL,256,292,N'SCSI',48,4,100,3000,N'SCSI',NULL
N'27c2452d-e9ac-414b-a83b-e9cfac225778',N'28e63cb0-08ff-4783-85a8-a4a11891f308',NULL,N'Primergy RX220',N'AMD 285 2.6GHz',2,4,NULL,NULL,7,500,N'SATA',14,1,100,500,N'SATA',NULL
N'31320177-e0f2-4e50-85ff-c241fd7e54ab',N'ecbd1f33-d186-41a8-b317-498e8fba8839',NULL,N'VTrak MP610p',NULL,NULL,NULL,NULL,NULL,NULL,16000,N'SATA',NULL,3,100,NULL,N'SATA',NULL
N'37d6d224-2233-483d-b2b6-0a061868b725',N'd90a75a3-ba41-4ad6-a4d7-3de6a8d7f388',NULL,N'PE2850',N'Xeon 3GHz',2,2,NULL,NULL,2,300,N'SCSI',20,2,NULL,700,N'SCSI',NULL
N'3D718188-9560-4e47-BA33-315E442C1876',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'P3539-60200',N'Server LP 4100TC',N'PIII 1,13 GHz',1,1,0,460,1,40,N'ATA',26,5,100,164,N'',N'LP4100tc'
N'3dc9023d-346b-4569-b6ae-d1ec28c7a093',N'00000000-0000-0000-0000-000000000001',NULL,N'patchpanel 1U',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,NULL,NULL,NULL
N'403459bb-76ae-4728-b046-ec75708789a5',N'b34a4817-3ed8-484d-864c-031720a37038',NULL,N'EasySTOR 1600RP',NULL,NULL,NULL,NULL,NULL,NULL,4800,NULL,23,3,100,201,NULL,NULL
N'42873359-a881-433a-8ab5-f223a5808958',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL360',N'Intel Xeon 2,4 GHz',1,4,1,64,6,133,N'SAS',NULL,1,100,161,N'SAS',NULL
N'4D094469-2BB4-44c5-9E63-5BFA53A97721',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'BL35p',N'AMD Opteron 280',2,2,NULL,30,8,72,N'SAS',10,3,12,150,N'SAS',N'bladep\bl35p'
N'4e7d8c44-41be-48d3-81cf-f97684680dc0',N'28e63cb0-08ff-4783-85a8-a4a11891f308',NULL,N'PRIMERGY RX300 S2',N'Intel Xeon',2,NULL,NULL,NULL,NULL,1800,N'SCSI',NULL,2,100,570,N'SCSI',NULL
N'4ede8191-e54d-4ec4-9ffe-658f2078fdf3',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'iDataPlex dx360 M2 2U',N'Intel Xeon E5520',2,4,1,118,32,450,N'2x SAS ',NULL,2,50,256,N'2x SAS ',NULL
N'52534e5f-bb65-4a34-ae5a-efb9bc43a76e',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL360 G5',N'Intel Xeon E5420',2,4,1,NULL,20,300,N'SAS',NULL,1,100,357,N'SAS',N'proliant\dl360g5'
N'5375b8cc-8cb7-488b-9007-8b0af4d8153d',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'iDataPlex dx360 M3',N'Intel Xeon X5650',2,6,1,204,48,300,N'2x SAS',NULL,1,50,284,N'2x SAS',NULL
N'56d689e8-d742-4441-95cf-352357ae8514',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'SAN 24B-2',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,NULL,NULL,NULL
N'5f79d7d1-fe44-4d4f-9f22-3e924009f767',N'cf25dc10-9f4d-4b14-9626-30e9061f4d39',NULL,N'Epia SN',N'Via C7 1800MHz',1,1,NULL,NULL,4,4000,N'SATA',NULL,1,100,45,N'SATA',NULL
N'612adcd9-3825-4321-97bc-1ad23d276653',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL 380 G5',N'2.66 GHz',1,2,NULL,NULL,NULL,NULL,N'SAS',NULL,2,100,221,N'SAS',NULL
N'624c178c-1811-447f-8d1e-64d89aab2109',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL380 G4',N'Intel Xeon 3.2 GHz',2,1,1,NULL,2,850,N'SCSI',NULL,2,100,396,N'SCSI',N'proliant\dl380g4'
N'64032e94-6289-4af3-a7e1-34d9f986121d',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'Bl460c',N'Intel Xeon 5160',2,2,NULL,39,8,147,N'SAS',NULL,4,12,NULL,N'SAS',N'bladec\bl460c'
N'674e3c39-7410-40a2-9bee-de4c9c00558a',N'7f8e2b6b-d5c7-44f5-a842-0b6eef54148c',NULL,N'Altix XE340',N'Intel Xeon E5520',2,4,1,95,16,300,N'SAS',NULL,1,50,249,N'SAS',NULL
N'67DD1F9E-CCE8-4606-BB1A-10ED0CB2CCFB',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'360518-B21',N'ProLiant DL145',N'AMD Opteron 244',2,1,NULL,NULL,4,40,N'ATA',12,1,100,211,N'ATA',N'proliant\dl145'
N'6e379205-32eb-448a-b2a4-05eb028ecd96',N'00000000-0000-0000-0000-000000000001',NULL,N'patchpanel 2U',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,100,NULL,NULL,NULL
N'6ec382a7-1639-4146-aad4-87c7cc43a7ef',N'46d2975a-d971-40f4-b7fc-f0b6b3e08ec6',NULL,N'X8DTU-F',N'E5620',2,4,1,129,12,162000,N'SATA',NULL,8,100,1023,N'SATA',NULL
N'707C9824-D491-457c-8D04-54715AF18809',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'359043-B21',N'ProLiant DL140',N'Intel Xeon 3,06 GHz',2,1,1,9,4,80,N'ATA',11,1,100,227,N'ATA',N'proliant\dl140'
N'71ed5f91-fd8d-48aa-a3f0-b0d2b8528adf',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'SAN 16B-2',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,NULL,NULL,NULL
N'758B56A6-BDBE-47cf-9FBE-EF7BD923BB2E',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'308724-421',N'ProLiant DL360',N'Intel Xeon 2,8 GHz',2,1,1,900,2,36,N'SCSI',13,1,100,279,N'SCSI',N'proliant\dl360'
N'775821b9-8046-4ae8-88f7-25a3de1425ab',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'416782-B21',N'BL20p',N'Intel Xeon 5160',2,2,NULL,39,10,146,N'SAS',NULL,6,12,NULL,N'SAS',N'bladep\bl20p'
N'79c34d7a-8d79-4416-966f-b5f36528e81f',N'cf233673-c8fc-467a-863d-e8d41d33890b',NULL,N'Ultamus 4800x',NULL,NULL,NULL,NULL,NULL,NULL,192000,N'SATA',NULL,8,100,NULL,N'SATA',NULL
N'7a16c8e6-3613-4ff0-979e-a9039ca9942b',N'4cc95d09-4748-459f-a7cc-2d247e8c7b96',NULL,N'Ironport C160',N'Xeon',1,2,NULL,NULL,4,250,N'SATA',15,1,100,500,N'SATA',NULL
N'7a9e2b91-cc62-471e-b27d-f45968bf90c9',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'SunFire X4240',N'AMD Opteron 2360 SE',2,8,NULL,NULL,32,375,N'SAS',14,2,100,1000,N'SAS',NULL
N'7c6e8856-ee89-47f6-af69-ca109e3f4bde',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'iDataPlex dx360 M2',N'Intel Xeon E5520',2,4,1,118,32,450,N'SAS',NULL,1,50,256,N'SAS',NULL
N'7E70E2B2-CB27-4fa1-8ADE-98D9223B2473',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'359043-B21',N'ProLiant DL140',N'Intel Xeon 3,06 GHz',2,1,1,8,2,80,N'ATA',11,1,100,211,N'ATA',N'proliant\dl140'
N'82c2a0bb-7182-4f6d-bfa8-82b4629618a9',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'SunFire V65x',N'Intel Xeon 3GHz',2,2,NULL,NULL,2,36,N'SCSI',25,2,100,500,N'SCSI',NULL
N'8450377b-817e-4de3-a3b3-f708903682a6',N'00000000-0000-0000-0000-000000000001',NULL,N'Slanina',N'Intel Xeon XY',1,1,NULL,NULL,1,NULL,NULL,15,4,100,300,NULL,NULL
N'86280618-bae5-4424-99ad-2749979acf30',N'77b3d62e-db4e-494b-b3d3-117c095db724',NULL,N'24-port 10GE XFP',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,NULL,NULL,NULL
N'8A0E769F-E92D-466a-B411-E34E01A7631D',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'368134-421',N'ProLiant DL360',N'Intel Xeon 3,0 GHz',2,1,1,930,4,72,N'SCSI',13,1,100,361,N'SCSI',N'proliant\dl360'
N'8ff34ee5-948f-43be-895b-4991f9e0b4ca',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'V40z',N'AMD Opteron',4,4,NULL,NULL,16,292,N'SCSI',34,2,100,760,N'SCSI',NULL
N'9f28866a-4bbf-413f-b1c0-1cfdbad60afe',N'9a074a6d-fead-4352-b3ed-fa7dffa0cb1f',NULL,N'IM-945GC',N'Intel Atom 230',1,1,NULL,NULL,2,6000,N'SATA',NULL,1,100,52,N'SATA',NULL
N'a5523b59-16ca-45c8-8ce7-c8bb3ae1c977',N'404c9a48-a007-472b-a268-305c8831f23a',NULL,N'Catalyst 6500',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,100,NULL,NULL,NULL
N'a78f05f7-6aeb-45a4-a169-0025bc8b008c',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL140',N'Intel Xeon 3,06 GHz',2,1,1,NULL,4,640,N'ATA',11,1,100,227,N'ATA',NULL
N'a7e20e10-5db0-4ea3-b709-3a02eec54b13',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'EVA',NULL,NULL,NULL,NULL,NULL,NULL,72000,N'FATA',NULL,29,100,NULL,N'FATA',NULL
N'acbc2ae9-e328-48da-894b-c27fb3ac2b9a',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'V20z thsun1x',N'AMD Opteron 244 1791MHz',2,2,NULL,NULL,4,73,N'SCSI',16,1,100,460,N'SCSI',NULL
N'ae22e095-950e-4250-b8e2-af6f7a1f56b1',N'00000000-0000-0000-0000-000000000001',NULL,N'unknown 4U',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,100,NULL,NULL,NULL
N'bf06dfc8-1e2a-4e98-b56a-66e167e9ac74',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'System x3650 M2',N'Intel Xeon E5520',2,4,NULL,NULL,12,292,N'SAS',NULL,2,100,361,N'SAS',NULL
N'c1c9c9cf-7ba5-40af-b906-721f3f3d7abb',N'7f8e2b6b-d5c7-44f5-a842-0b6eef54148c',NULL,N'XE270',N'E5620',1,4,1,NULL,24,300,N'2x SAS',NULL,2,100,216,N'2x SAS',NULL
N'c25f7822-58fc-4b7a-9ba9-b82180608835',N'2c8ae271-3fc9-45b5-8d30-d0857ed03f08',NULL,N'Smart-UPS',NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,100,NULL,NULL,NULL
N'c5c9cff2-408a-4257-9353-54dcdcef1eae',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'System x3650',N'Intel Xeon 2.00Ghz',2,8,NULL,NULL,8,200,N'SAS',NULL,2,100,347,N'SAS',NULL
N'c721541c-1126-4614-a338-e4ed8c1c6510',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'435943-421',N'ProLiant DL360 G5',N'Intel Xeon E5335',1,4,1,NULL,4,146,N'SAS',NULL,1,100,NULL,N'',N'proliant\dl360g5'
N'ca080e9f-b752-4a37-b62d-bc24a5855ed9',N'7f8e2b6b-d5c7-44f5-a842-0b6eef54148c',NULL,N'Altix XE310',N'Intel Xeon E5420 ',2,4,NULL,68,16,300,N'SAS',NULL,1,50,350,N'SAS',N'altix\xe310'
N'cc4b6863-c02d-42c9-aa9e-02b4295645fc',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',N'403435-B21',N'BL465c',N'AMD Opteron 2220',2,2,NULL,34,8,147,N'SAS',NULL,4,12,NULL,N'SAS',N'bladec\bl465c'
N'cceb97a4-e9c5-46ed-9816-4adc7f50737a',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'V20z',N'AMD Opteron 250 2400MHz',2,2,NULL,NULL,4,73,N'SCSI',16,1,100,460,N'SCSI',NULL
N'cd4922a4-2bf8-4e70-94b8-18c268c34cef',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'BL460c',N'Intel Xeon 5420',2,4,NULL,64,16,300,N'SAS',NULL,4,12,NULL,N'SAS',N'bladec\bl460c'
N'd52bff7a-56b1-4ebe-9838-f6a0ad639e5b',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'DL 360 G4p',NULL,NULL,NULL,NULL,NULL,NULL,NULL,N'SCSI',NULL,1,100,193,N'SCSI',NULL
N'd74cd650-dcab-4f8b-b81d-f4d12d1a0844',N'b34a4817-3ed8-484d-864c-031720a37038',NULL,N'EasySTOR 1400RP',NULL,NULL,NULL,NULL,NULL,NULL,3500,N'IDE',24,3,100,298,N'IDE',NULL
N'd9bce8e1-f070-4691-ac51-9b53bb8b0595',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'iDataPlex dx340',N'Intel Xeon 5440',2,4,NULL,70,16,300,N'SAS',NULL,1,50,300,N'SAS',N'idataplex\dx340'
N'dc280551-7cb4-4656-884f-68ebefaf41b7',N'dd379473-4bac-4cde-986b-d242f372c3a0',NULL,N'Hummingbird',N'Atom D510',1,2,1,NULL,4,2000,N'4x SATA',NULL,1,100,70,N'4x SATA',NULL
N'dfdd8a41-a34a-4efb-be5f-3ba498e5a709',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'SunFire V65x',N'Intel Xeon 3GHz',2,2,NULL,NULL,6,72,N'SCSI',25,2,100,500,N'SCSI',NULL
N'e150c32a-5a81-459d-97e1-520595ecd099',N'cf233673-c8fc-467a-863d-e8d41d33890b',NULL,N'Ultamus 1200',NULL,NULL,NULL,NULL,NULL,NULL,12000,N'SATA',NULL,4,100,NULL,N'SATA',NULL
N'ecbeeee3-d287-449d-8024-1645680ba663',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL380',N'Intel Xeon 2.2 GHz',1,4,1,NULL,6,NULL,N'SAS',NULL,2,100,286,N'SAS',NULL
N'ee3d600b-fe7e-49df-b430-495d0140329f',N'cf233673-c8fc-467a-863d-e8d41d33890b',NULL,N'Ultamus 4800',NULL,NULL,NULL,NULL,NULL,NULL,96000,N'SATA',NULL,4,100,NULL,N'SATA',NULL
N'F677ADA4-4D76-40fd-862A-C254D99817DD',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'BL35p',N'AMD Opteron 275',2,2,NULL,25,8,40,N'ATA',10,3,12,150,N'ATA',N'bladep\bl35p'
N'ff34ae3f-9061-4b17-aaad-057fe8646bde',N'00000000-0000-0000-0000-000000000001',NULL,N'SUPERMICRO',N'Intel Xeon 2.8GHz',2,NULL,1,NULL,2,4000,N'SATA',40,3,100,760,N'SATA',NULL
